schemaname,tablename,policyname,permissive,cmd,roles,qual,with_check
public,aplicadores_operarios,Solo dueño puede borrar operarios,PERMISSIVE,DELETE,{public},"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))",null
public,aplicadores_operarios,Solo dueño puede borrar sus operadores,PERMISSIVE,DELETE,{public},(usuario_id = auth.uid()),null
public,aplicadores_operarios,Solo dueño puede insertar aplicadores/operarios,PERMISSIVE,INSERT,{public},null,"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))"
public,aplicadores_operarios,Solo dueño puede insertar operadores,PERMISSIVE,INSERT,{public},null,(usuario_id = auth.uid())
public,aplicadores_operarios,Solo dueño puede insertar operarios,PERMISSIVE,INSERT,{public},null,"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))"
public,aplicadores_operarios,Solo dueño puede modificar o borrar sus aplicadores/operarios,PERMISSIVE,UPDATE,{public},"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))",null
public,aplicadores_operarios,Solo dueño puede modificar operarios,PERMISSIVE,UPDATE,{public},"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))",null
public,aplicadores_operarios,Solo dueño puede modificar sus operadores,PERMISSIVE,UPDATE,{public},(usuario_id = auth.uid()),null
public,aplicadores_operarios,Solo dueño puede ver sus aplicadores/operarios,PERMISSIVE,SELECT,{public},"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))",null
public,aplicadores_operarios,Solo dueño puede ver sus operadores,PERMISSIVE,SELECT,{public},(usuario_id = auth.uid()),null
public,aplicadores_operarios,Solo dueño puede ver sus operarios,PERMISSIVE,SELECT,{public},"(finca_id IN ( SELECT fincas.id
   FROM fincas
  WHERE (fincas.usuario_id = auth.uid())))",null
public,aplicadores_operarios,Solo dueño puede ver y modificar,PERMISSIVE,ALL,{authenticated},(auth.uid() = usuario_id),null
public,cuartel_variedades,Permitir DELETE a usuarios autenticados,PERMISSIVE,DELETE,{public},(auth.uid() IS NOT NULL),null
public,cuartel_variedades,Permitir INSERT a usuarios autenticados,PERMISSIVE,INSERT,{public},null,(auth.uid() IS NOT NULL)
public,cuartel_variedades,Permitir SELECT a usuarios autenticados,PERMISSIVE,SELECT,{public},(auth.uid() IS NOT NULL),null
public,cuartel_variedades,Permitir UPDATE a usuarios autenticados,PERMISSIVE,UPDATE,{public},(auth.uid() IS NOT NULL),(auth.uid() IS NOT NULL)
